,time[ms],Gx[mg],Gy[mg],Gz[mg],Ax[dps],Ay[dps],Az[dps]
0,0,103.94,-84.41,-191.96,1.05,-0.32,0.54
1,100,-16.05,-135.13,-254.03,0.29,-0.53,0.48
2,200,-92.9,-146.48,-198.43,-0.01,-0.14,0.41
3,300,-170.53,-182.31,-120.79,-0.98,0.02,0.49
4,400,-203.43,-27.95,25.27,-0.75,0.08,1.32
5,500,-160.03,85.69,144.1,-0.73,0.1,1.91
6,600,-76.29,3.91,335.57,-0.52,-0.68,1.86
7,700,39.67,-186.58,405.15,1.0,-0.99,1.76
8,800,211.73,-110.6,77.64,0.99,-0.62,1.55
9,900,158.33,-80.57,-34.48,1.08,-0.19,0.42
10,1000,29.6,-186.34,-198.73,1.17,-0.17,0.36
11,1100,-114.75,-192.08,-251.16,0.21,-0.54,0.49
12,1200,-201.9,-110.05,-164.18,-0.13,-0.24,0.65
13,1300,-202.58,-72.94,-92.96,-0.85,-0.24,0.91
14,1400,-179.69,-17.52,36.5,-0.79,-0.12,1.42
15,1500,-106.08,-1.4,176.57,-0.46,-0.29,2.01
16,1600,94.24,-40.34,287.6,-0.38,-0.71,1.8
17,1700,140.62,-179.14,310.18,1.17,-0.52,1.33
18,1800,192.69,-42.11,36.25,1.69,-0.3,1.52
19,1900,176.15,-51.82,-145.08,1.15,-0.31,0.4
20,2000,-3.6,-92.53,-322.45,0.75,-0.31,0.74
21,2100,-142.03,-74.16,-167.91,-0.07,-0.27,0.5
22,2200,-189.7,-110.35,-90.58,-0.64,-0.26,0.62
23,2300,-203.55,-94.73,8.0,-0.51,-0.05,1.16
24,2400,-140.99,103.45,168.76,-0.02,-0.24,1.92
25,2500,-86.85,3.78,291.02,-0.34,-0.48,1.9
26,2600,15.93,-169.98,347.35,0.35,-0.84,1.7
27,2700,145.57,-173.65,102.23,0.94,-0.7,1.59
28,2800,172.42,-102.6,-56.46,0.9,-0.37,0.54
29,2900,54.2,-24.96,-205.81,1.09,-0.41,0.27
30,3000,-48.58,-38.09,-240.72,0.0,-0.51,0.18
31,3100,-131.96,-32.35,-194.4,-0.29,-0.24,0.42
32,3200,-173.58,-42.91,-77.09,-0.82,-0.13,1.06
33,3300,-149.78,22.34,17.82,-0.63,-0.24,1.43
34,3400,-26.37,107.3,55.05,-0.08,-0.01,1.89
35,3500,-4.64,50.05,87.04,0.01,-0.05,1.58
36,3600,12.45,-32.35,47.97,-0.11,-0.11,1.17
37,3700,16.6,-10.86,44.13,-0.14,-0.07,0.92
38,3800,0.37,-6.1,46.69,-0.03,-0.01,1.04
39,3900,3.6,9.16,19.17,-0.06,0.05,0.99
40,4000,-3.36,-2.32,19.17,-0.06,0.07,1.01
41,4100,-7.2,-0.79,16.78,-0.1,0.09,1.07
42,4200,-9.34,-3.6,18.07,-0.08,0.12,1.15
43,4300,-7.08,3.42,13.61,-0.09,0.13,1.11
44,4400,-16.72,-6.1,19.71,-0.08,0.14,1.02
45,4500,-23.25,-0.12,16.48,0.04,0.07,1.06
46,4600,-13.31,-0.79,8.79,-0.05,0.06,1.11
47,4700,-15.93,2.26,5.62,-0.01,0.08,1.07
48,4800,-15.2,7.32,5.49,-0.04,0.06,1.11
49,4900,-9.95,7.87,5.55,-0.04,0.07,1.1
