,time[ms],Gx[mg],Gy[mg],Gz[mg],Ax[dps],Ay[dps],Az[dps]
0,0,1.05,-9.22,3.91,4.4,0.22,0.12
1,100,1.06,-10.56,2.81,6.59,0.26,0.1
2,200,1.03,-10.01,6.96,9.52,0.28,0.13
3,300,1.05,-15.56,6.53,-1.28,0.21,0.14
4,400,1.02,-11.96,9.7,-0.12,0.24,0.18
5,500,1.05,-9.64,2.62,4.58,0.23,0.16
6,600,1.03,-9.52,1.71,4.94,0.25,0.15
7,700,1.04,-18.55,-1.4,6.29,0.19,0.16
8,800,1.06,-11.05,7.2,10.74,0.33,0.15
9,900,1.02,-17.46,2.69,8.91,0.3,0.17
10,1000,1.02,-15.44,14.16,-1.16,0.2,0.14
11,1100,1.04,-16.24,10.62,-0.61,0.22,0.15
12,1200,1.29,0.0,-20.63,6.35,0.21,0.17
13,1300,0.87,55.11,-39.49,25.09,1.31,0.25
14,1400,0.4,-96.86,-66.28,-96.07,-0.51,-0.24
15,1500,1.24,-123.11,-67.81,-186.95,-0.51,-0.29
16,1600,1.94,1.71,-1.65,191.59,0.53,-0.11
17,1700,1.89,151.92,-36.8,194.89,0.76,-0.34
18,1800,0.84,224.24,-56.21,193.24,1.48,-0.21
19,1900,0.34,119.51,-155.64,-35.34,0.91,-0.07
20,2000,-0.02,-95.7,-194.58,-201.05,0.02,-0.2
21,2100,0.23,-202.88,-154.97,-167.24,-0.23,-0.13
22,2200,1.95,-286.13,-36.68,15.75,0.41,-0.43
23,2300,2.56,-67.08,170.29,148.56,-0.05,-0.34
24,2400,1.92,165.41,2.38,226.81,0.93,-0.67
25,2500,0.99,214.05,-68.91,303.34,1.9,-0.78
26,2600,0.43,139.4,-145.26,224.06,1.71,-0.47
27,2700,0.02,-49.32,-170.04,-137.08,0.88,-0.57
28,2800,0.06,-176.82,-188.48,-263.98,-0.14,-0.54
29,2900,1.07,-213.99,-128.97,-141.42,-0.42,-0.15
30,3000,1.87,-134.03,92.1,46.81,-0.2,-0.05
31,3100,2.33,-24.23,87.46,127.38,0.45,-0.04
32,3200,1.88,147.22,-26.37,255.98,0.83,-0.55
33,3300,1.04,205.44,-49.93,226.2,1.09,-0.4
34,3400,0.36,93.2,-95.52,56.4,1.5,-0.04
35,3500,-0.06,-65.8,-154.36,-65.55,0.92,-0.51
36,3600,0.44,-185.91,-117.8,-232.3,0.05,-0.7
37,3700,0.88,-227.36,-32.1,-137.51,-0.18,-0.34
38,3800,1.91,-154.91,117.37,-5.68,-0.83,-0.25
39,3900,2.54,50.72,-3.78,111.39,0.53,-0.21
40,4000,1.62,230.47,-62.32,262.51,1.04,-0.69
41,4100,0.46,227.78,-97.11,221.62,1.41,-0.03
42,4200,0.05,62.81,-87.34,39.92,1.37,-0.18
43,4300,0.17,-102.29,-153.26,-222.35,0.41,-0.49
44,4400,0.56,-215.27,-119.87,-163.76,0.15,-0.3
45,4500,1.88,-223.45,-10.62,-19.29,-0.52,-0.46
46,4600,2.43,-50.17,90.94,93.75,-0.32,0.19
47,4700,2.0,96.07,-5.55,195.5,0.98,-0.47
48,4800,0.91,203.61,-11.9,317.08,1.69,-0.33
49,4900,0.95,35.52,-183.96,67.63,1.55,-0.25
