,time[ms],Gx[mg],Gy[mg],Gz[mg],Ax[dps],Ay[dps],Az[dps]
0,0,-9.4,5.37,4.27,-0.03,0.07,1.08
1,100,-4.7,8.42,5.19,-0.02,0.08,1.09
2,200,-2.62,13.06,3.42,-0.01,0.15,1.01
3,300,-14.1,7.2,2.08,-0.09,0.11,1.09
4,400,-11.54,4.39,7.26,-0.03,0.1,1.11
5,500,-27.28,-0.43,9.22,0.02,0.07,1.13
6,600,4.09,28.08,15.75,-0.06,0.09,1.02
7,700,-15.44,-20.02,0.61,-0.04,0.09,1.12
8,800,4.76,18.98,-9.34,-0.05,0.11,1.09
9,900,-34.55,19.78,-6.59,-0.16,0.16,0.92
10,1000,-39.0,-5.49,3.36,-0.37,0.15,0.98
11,1100,-79.16,-80.93,138.67,-0.67,-0.08,1.4
12,1200,39.25,-123.6,236.82,0.35,-0.51,2.08
13,1300,186.46,-65.43,38.39,1.0,-0.58,1.38
14,1400,127.93,-99.85,-142.15,1.37,-0.14,0.57
15,1500,9.46,-145.26,-243.35,0.54,-0.3,0.2
16,1600,-107.06,-198.24,-158.08,-0.25,-0.21,0.23
17,1700,-190.86,-100.22,-37.35,-0.29,-0.01,0.49
18,1800,-175.05,-20.08,56.7,-0.95,-0.18,1.31
19,1900,-107.54,72.63,202.21,-0.4,-0.31,1.88
20,2000,26.0,0.43,234.86,0.03,-0.51,2.04
21,2100,131.59,-106.2,251.28,1.38,-0.75,1.35
22,2200,117.07,-37.54,34.06,1.22,-0.46,0.99
23,2300,69.27,-66.04,-79.35,1.2,-0.24,0.53
24,2400,57.01,-41.99,-176.15,0.76,-0.61,0.64
25,2500,-1.71,-36.13,-204.16,0.13,-0.22,0.12
26,2600,-144.9,-66.22,-147.89,-0.5,0.11,0.27
27,2700,-249.76,-31.01,38.21,-0.7,-0.03,0.98
28,2800,-184.57,47.0,133.3,-0.54,-0.13,1.58
29,2900,-66.83,17.46,255.68,-0.28,-0.58,1.94
30,3000,65.61,-122.01,266.36,0.35,-1.04,1.86
31,3100,184.33,-127.38,124.88,0.85,-0.83,1.55
32,3200,185.91,-117.68,-25.33,1.05,-0.5,0.43
33,3300,56.58,-86.36,-190.31,1.02,-0.11,0.24
34,3400,-62.87,-67.81,-187.32,0.24,-0.25,0.29
35,3500,-124.63,-90.82,-171.08,-0.08,-0.05,0.41
36,3600,-219.42,-45.1,-66.59,-0.98,-0.05,0.57
37,3700,-244.32,59.08,84.23,-1.31,-0.25,1.62
38,3800,-130.13,96.37,214.84,-1.13,-0.48,1.93
39,3900,9.22,-81.48,286.68,-0.35,-0.72,1.39
40,4000,149.72,-217.53,217.35,0.87,-0.77,1.85
41,4100,201.05,-154.48,31.07,1.0,-0.47,0.99
42,4200,83.98,-130.19,-88.13,1.19,-0.06,0.3
43,4300,-43.27,-156.25,-183.65,0.89,-0.29,0.12
44,4400,-91.13,-95.83,-203.8,0.11,-0.4,0.4
45,4500,-140.87,-92.35,-163.45,-0.16,-0.01,0.18
46,4600,-254.21,-44.56,-54.81,-1.0,0.01,0.95
47,4700,-224.18,24.05,109.5,-1.02,-0.33,1.75
48,4800,-122.07,0.37,217.83,-0.49,-0.4,2.33
49,4900,14.95,-92.16,328.19,-0.15,-0.81,1.67
