,time[ms],Gx[mg],Gy[mg],Gz[mg],Ax[dps],Ay[dps],Az[dps]
0,0,-57.74,-71.41,-229.74,0.35,-0.45,0.1
1,100,-146.18,-12.21,-185.91,-0.06,-0.15,0.34
2,200,-243.23,-3.17,-117.92,-0.47,-0.02,0.58
3,300,-185.97,161.87,72.02,-1.17,0.05,1.35
4,400,-172.06,-88.5,219.36,-1.1,-0.45,2.0
5,500,-51.21,-156.07,345.4,0.19,-1.14,1.78
6,600,30.88,-202.27,183.9,0.52,-1.06,1.72
7,700,250.92,-100.28,51.33,0.91,-0.6,0.88
8,800,65.06,-143.25,-120.3,1.12,-0.29,0.52
9,900,1.59,-115.78,-219.3,0.88,-0.36,0.6
10,1000,6.53,-67.38,-224.3,-0.02,-0.49,0.26
11,1100,-114.32,-71.23,-187.13,-0.39,-0.06,0.13
12,1200,-283.33,-47.36,-57.98,-0.6,-0.19,1.14
13,1300,-192.5,-7.14,113.95,-1.02,-0.5,2.41
14,1400,-18.98,-77.7,266.3,-0.45,-0.74,1.97
15,1500,94.97,-109.25,336.3,0.57,-1.09,1.71
16,1600,202.58,-76.17,127.26,1.04,-0.71,1.64
17,1700,172.12,-67.08,-4.64,0.97,-0.23,0.4
18,1800,35.03,-144.59,-161.44,1.04,-0.03,0.17
19,1900,-75.81,-104.25,-205.57,0.38,-0.29,0.35
20,2000,-134.83,-77.7,-175.17,0.23,-0.2,0.27
21,2100,-209.66,-48.4,-151.92,-0.61,-0.22,0.68
22,2200,-235.41,-104.0,-14.16,-1.21,-0.38,1.56
23,2300,-166.32,40.71,192.69,-0.52,-0.47,1.87
24,2400,-6.1,-4.27,321.53,-0.24,-0.72,2.05
25,2500,120.3,-161.87,317.32,0.81,-0.82,1.66
26,2600,233.52,-145.26,91.74,0.96,-0.6,1.33
27,2700,127.44,-120.06,-52.0,1.22,-0.23,0.42
28,2800,-29.79,-121.83,-202.88,0.97,-0.25,0.28
29,2900,-88.38,-61.95,-215.03,0.38,-0.27,0.39
30,3000,-142.64,-48.65,-154.17,-0.05,-0.24,0.54
31,3100,-160.28,-42.85,-86.61,-0.73,-0.13,0.94
32,3200,-162.54,-40.04,44.07,-0.66,-0.1,1.31
33,3300,-106.93,15.2,168.52,-0.82,-0.42,1.81
34,3400,-2.99,-24.84,319.4,-0.24,-0.85,1.73
35,3500,106.32,-133.3,296.81,0.59,-0.95,1.65
36,3600,189.21,-133.79,111.15,0.99,-0.77,1.29
37,3700,144.84,-70.56,-31.31,1.32,-0.33,0.5
38,3800,29.48,-143.68,-186.89,0.89,-0.26,0.31
39,3900,-77.94,-136.35,-205.44,0.23,-0.26,0.36
40,4000,-156.19,-94.12,-143.68,0.02,-0.04,0.48
41,4100,-206.73,-29.91,-67.14,-0.21,-0.08,0.84
42,4200,-172.3,32.59,13.12,-0.35,-0.07,1.6
43,4300,-125.98,66.16,148.07,-0.48,-0.11,1.96
44,4400,-18.13,7.02,262.57,-0.22,-0.38,1.83
45,4500,94.67,-87.89,258.97,0.52,-0.69,2.09
46,4600,189.03,-87.1,144.71,0.63,-0.47,1.37
47,4700,117.0,-91.67,-0.48,1.21,-0.04,0.65
48,4800,115.42,197.02,-0.12,-0.09,1.77,-133.42
49,4900,70.19,319.64,0.69,-0.57,2.21,-56.95
