,time[ms],Gx[mg],Gy[mg],Gz[mg],Ax[dps],Ay[dps],Az[dps]
0,0,-9.09,5.68,4.46,0.18,0.13,1.07
1,100,-13.37,7.45,0.18,0.16,0.12,1.08
2,200,-11.47,1.89,2.56,0.17,0.14,1.07
3,300,-21.91,-10.25,-50.78,0.53,0.33,1.07
4,400,-32.71,-96.74,-114.62,-0.2,0.25,0.6
5,500,-123.23,-131.9,464.05,-1.08,-1.49,1.92
6,600,339.48,-88.93,310.0,1.39,-1.37,2.63
7,700,233.52,-147.52,-106.51,1.55,-0.83,0.08
8,800,-17.4,-318.6,-200.56,0.71,-0.74,-0.4
9,900,-210.33,-257.69,-157.71,-0.0,-0.87,0.09
10,1000,-299.32,-67.26,-37.78,-0.3,-0.94,0.77
11,1100,-159.91,105.16,160.71,-1.25,-1.29,2.8
12,1200,32.17,81.97,237.3,-0.88,-0.33,1.78
13,1300,-31.62,160.77,302.49,0.87,-0.33,1.97
14,1400,93.38,75.56,263.61,0.95,-0.3,2.39
15,1500,214.97,-100.04,93.08,1.01,-0.19,1.53
16,1600,154.54,-169.86,-120.3,1.02,-0.3,0.48
17,1700,-21.79,-196.47,-166.32,0.24,-0.67,0.25
18,1800,-144.47,-113.46,-164.92,-0.21,-0.64,0.42
19,1900,-206.67,58.78,-126.53,-1.98,-0.56,0.95
20,2000,-235.23,98.21,87.77,-1.58,0.03,1.85
21,2100,-161.93,11.29,204.41,-0.67,-0.39,2.49
22,2200,60.36,-31.62,299.93,-0.1,-0.45,2.95
23,2300,250.0,-96.92,171.63,0.83,-0.12,1.27
24,2400,156.8,-165.22,-41.5,0.96,-0.04,0.53
25,2500,-13.37,-162.48,-189.76,0.52,-0.43,0.28
26,2600,-101.75,-94.97,-200.87,0.04,-0.46,0.3
27,2700,-169.49,-26.98,-208.07,-1.51,-0.75,0.72
28,2800,-235.96,-130.68,80.14,-1.35,-0.51,1.57
29,2900,-219.73,-26.18,130.19,-1.27,-0.74,1.88
30,3000,-92.41,-37.6,248.6,-0.11,-0.59,2.26
31,3100,136.23,-94.91,235.96,0.32,-0.64,1.98
32,3200,201.84,-133.79,108.95,0.76,-0.0,0.83
33,3300,108.34,-143.86,-18.62,0.82,0.11,0.56
34,3400,-9.89,-101.44,-165.71,0.76,-0.04,0.63
35,3500,-47.91,-85.82,-248.23,-0.04,-0.52,0.54
36,3600,-87.04,-67.69,-141.6,-0.33,-0.3,0.75
37,3700,-103.52,-77.33,-117.92,-0.89,-0.67,1.09
38,3800,-131.53,-58.72,106.81,-1.03,-0.28,1.62
39,3900,-92.9,53.83,212.34,-0.24,-0.09,1.26
40,4000,-98.69,29.36,302.8,-0.03,-0.49,2.03
41,4100,26.79,-6.96,224.49,0.45,-0.45,2.45
42,4200,166.63,-77.58,107.79,0.76,-0.29,1.31
43,4300,141.91,-200.74,-20.45,1.14,0.02,0.56
44,4400,21.55,-150.82,-148.44,1.07,-0.14,0.38
45,4500,-75.81,-58.11,-221.37,0.36,-0.43,0.35
46,4600,-72.81,-30.15,-127.01,-0.38,-0.34,0.55
47,4700,-157.78,-8.91,-142.88,-0.54,-0.54,1.33
48,4800,-109.74,101.56,-1.83,-1.62,-0.33,1.36
49,4900,-137.39,63.23,211.36,-0.75,0.06,1.27
