,time[ms],Gx[mg],Gy[mg],Gz[mg],Ax[dps],Ay[dps],Az[dps]
0,0,-11.66,-1.71,10.5,-0.0,0.23,1.07
1,100,-7.26,7.87,0.49,0.07,0.25,1.03
2,200,-18.49,10.01,-19.1,-0.04,0.2,0.98
3,300,-89.72,-112.43,-11.47,-1.06,0.06,0.8
4,400,-93.26,-12.21,257.08,-0.17,-0.36,2.23
5,500,146.79,-30.58,298.83,0.59,-0.58,2.09
6,600,255.19,-60.06,102.78,1.47,-0.27,0.35
7,700,100.83,-176.15,-94.79,1.23,0.07,-0.04
8,800,-73.91,-117.07,-226.44,0.78,-0.26,0.27
9,900,-160.77,-121.83,-229.55,0.02,-0.51,0.46
10,1000,-234.44,-44.68,-131.16,-0.63,-0.88,0.95
11,1100,-162.72,21.97,121.95,-1.56,-1.05,1.66
12,1200,-50.6,21.06,120.79,-0.29,-0.02,0.84
13,1300,-66.22,1.34,201.9,-0.54,-0.34,1.73
14,1400,-15.2,4.52,220.09,-0.03,-0.42,1.84
15,1500,95.52,-126.71,181.21,0.2,-0.61,1.76
16,1600,180.42,-154.17,79.53,0.86,-0.12,0.95
17,1700,126.4,-85.94,-2.5,1.41,0.04,0.88
18,1800,40.59,-156.74,-168.46,0.95,-0.27,0.99
19,1900,34.0,-70.5,-247.44,0.09,-0.49,0.28
20,2000,-43.82,-135.31,-220.58,-0.29,-0.26,0.5
21,2100,-173.1,-112.37,-234.31,-2.0,-0.86,0.7
22,2200,-229.31,26.31,82.76,-1.12,-0.26,1.18
23,2300,-205.57,67.08,17.4,-0.83,-0.97,1.42
24,2400,-192.08,21.85,288.64,-0.1,-0.42,1.77
25,2500,-85.94,-113.4,137.08,-0.11,-0.67,1.8
26,2600,66.1,-96.44,121.52,0.19,-0.66,2.15
27,2700,197.45,-21.97,62.01,0.68,-0.25,1.73
28,2800,243.41,-53.1,-67.32,0.67,-0.18,0.81
29,2900,135.99,-132.63,-221.56,0.35,-0.3,0.25
30,3000,2.99,-171.51,-175.66,0.04,-0.17,0.2
31,3100,-128.54,-91.43,-173.58,-0.4,-0.58,0.73
32,3200,-134.95,-121.22,26.61,-1.21,-0.83,0.95
33,3300,-175.29,-34.73,109.13,-0.63,-0.29,1.37
34,3400,-5.98,-103.64,232.42,-0.85,-0.46,0.99
35,3500,-118.04,-88.44,261.41,-0.1,-0.71,1.66
36,3600,20.39,-85.94,193.6,0.08,-0.84,2.22
37,3700,176.21,-85.82,139.04,0.71,-0.34,1.68
38,3800,209.47,-166.87,-9.46,1.02,0.01,1.03
39,3900,112.61,-152.77,-199.52,0.79,-0.11,0.5
40,4000,-8.54,-104.98,-233.03,0.16,-0.34,0.51
41,4100,-95.52,-74.1,-71.29,-0.15,-0.32,0.55
42,4200,-126.46,24.66,-59.57,-0.77,-0.51,0.88
43,4300,-162.11,13.92,27.28,-2.23,-0.53,1.21
44,4400,-171.08,-25.09,120.67,-0.91,-0.25,1.61
45,4500,-130.19,6.84,169.74,-0.37,-0.53,1.61
46,4600,-118.35,-58.59,149.05,-0.09,-0.73,1.74
47,4700,87.77,-69.15,147.64,0.25,-0.64,1.92
48,4800,161.93,-55.6,24.6,0.46,-0.26,1.48
49,4900,168.52,-63.42,-13.49,0.67,-0.04,0.95
